,base_asset,compare_asset,label
0,AADR,DAX,0
225,FPXI,IBB,0
224,FNX,PSCC,0
223,FNX,INDY,0
222,FNK,VYMI,0
221,FNK,NFTY,0
220,FNK,INDY,0
216,FKU,SMCP,0
215,FKU,QABA,0
214,FKU,FTXR,0
213,FID,VTWV,0
212,FID,QABA,0
211,FID,PSCF,0
210,FID,PDBC,0
209,FID,NFTY,0
208,FID,FTGC,0
226,FSZ,HEWG,0
227,FSZ,NZAC,0
228,FSZ,PFI,0
229,FSZ,PIE,0
253,FTXR,NFTY,0
252,FTXR,INDY,0
251,FTXH,XT,0
250,FTXH,VTHR,0
249,FTXH,VONE,0
248,FTXH,SDG,0
247,FTXH,RTH,0
207,FEX,PSCC,0
246,FTXH,QQXT,0
244,FTXH,PDP,0
243,FTXH,NXTG,0
240,FTRI,PEY,0
233,FTHI,KBWP,0
232,FTCS,VONE,0
231,FTCS,PSET,0
230,FTA,FTRI,0
245,FTXH,PSCC,0
206,FEUZ,SMCP,0
205,FEUZ,QABA,0
204,FEUZ,PDBC,0
183,FDT,QABA,0
182,FDT,PDBC,0
181,FDT,FEUZ,0
180,FCVT,IBB,0
179,FCVT,GENY,0
178,FCVT,FPXI,0
177,FCEF,PFI,0
184,FEM,FEP,0
176,FCEF,INDY,0
173,ESGU,PHO,0
172,ESGE,VTWG,0
171,ESGD,VTWO,0
170,ESGD,PIE,0
169,ESGD,PFI,0
168,ESGD,INDY,0
167,ESGD,HEWG,0
174,FAB,NFTY,0
254,FTXR,RFEU,0
369,VTWO,VXUS,0
187,FEM,FTXR,0
203,FEP,SMCP,0
202,FEP,QABA,0
201,FEP,PDBC,0
200,FEP,IPKW,0
199,FEP,FTXR,0
198,FEMS,PIE,0
197,FEMS,IPKW,0
186,FEM,FKU,0
196,FEMS,IEUS,0
194,FEMS,FTXR,0
193,FEM,VTWV,0
192,FEM,SMCP,0
191,FEM,QABA,0
190,FEM,PSCF,0
189,FEM,PDBC,0
188,FEM,IFV,0
195,FEMS,HEWG,0
255,FTXR,VYMI,0
256,FVC,PSCC,0
257,FVC,PY,0
335,NXTG,NZAC,0
334,NFTY,VYMI,0
333,NFTY,VTWV,0
332,NFTY,PRFZ,0
331,MDIV,PDBC,0
329,LVHD,QAT,0
328,KRMA,PHO,0
336,NZAC,PFI,0
327,KBWP,LVHD,0
325,IXUS,VXUS,0
324,IXUS,PIE,0
323,IUSV,USLB,0
314,ISHP,VIGI,0
313,IPKW,RFDI,0
312,INDY,VYMI,0
311,INDY,VTWV,0
326,KBWD,PDBC,0
310,INDY,VTWO,0
337,PDBC,PSCF,0
339,PDBC,SMCP,0
367,VIGI,VTWG,0
354,RNRG,SDG,0
353,QABA,VYMI,0
352,PUI,QAT,0
351,PSC,PSCU,0
350,PSC,PSCC,0
349,PRFZ,PSCC,0
338,PDBC,QABA,0
348,PRFZ,PSC,0
346,PIE,VXUS,0
345,PIE,SCZ,0
344,PHO,VTHR,0
343,PHO,VONE,0
342,PHO,PSET,0
341,PDBC,VYMI,0
340,PDBC,VTWV,0
347,PPH,PSCC,0
166,ESGD,FSZ,0
309,INDY,VONV,0
307,INDY,PY,0
275,HEWG,VIGI,0
274,HEWG,RFEU,0
273,HEWG,PSCC,0
272,HEWG,PRFZ,0
271,HEWG,PIZ,0
270,HEWG,PIO,0
269,HEWG,PIE,0
276,HEWG,VTWO,0
268,HEWG,PHO,0
266,HEWG,NZAC,0
265,HEWG,NXTG,0
264,HEWG,IXUS,0
263,HEWG,INDY,0
262,HEWG,IJT,0
261,HEWG,IEUS,0
258,GENY,VTWG,0
267,HEWG,PFI,0
308,INDY,RFEU,0
277,HEWG,VXUS,0
279,IDLB,PDBC,0
306,INDY,PSCU,0
305,INDY,PSCC,0
304,INDY,PSC,0
303,INDY,PRFZ,0
302,INDY,PKW,0
301,INDY,PFI,0
300,IJT,PSCC,0
278,HEWG,XT,0
299,IJT,INDY,0
288,IGF,PEY,0
287,IGF,LVHD,0
286,IGF,KBWP,0
285,IFV,RFEM,0
284,IEUS,SCZ,0
283,IEUS,PIE,0
282,IEUS,IPKW,0
289,IGF,QAT,0
165,ENZL,IBB,0
185,FEM,FEUZ,0
72,CIL,PSCU,0
67,CIL,NFTY,0
66,CIL,INDY,0
65,CIL,IJT,0
64,CIL,FTXR,0
63,CIL,DGRS,0
62,CIL,CSF,0
61,CID,UAE,0
68,CIL,PFI,0
60,CID,QABA,0
58,CID,FTGC,0
57,CFO,PPH,0
56,CFO,FEX,0
55,CDC,PPH,0
54,CATH,FTCS,0
47,BJK,RFEM,0
46,BJK,IFV,0
59,CID,PDBC,0
69,CIL,PIE,0
70,CIL,PRFZ,0
71,CIL,PSC,0
89,CSB,FNX,0
88,CSB,DXGE,0
87,CSB,DGRS,0
86,CSA,PSCC,0
85,CSA,PSC,0
84,CSA,PRFZ,0
83,CSA,INDY,0
82,CSA,FVC,0
81,CSA,DXGE,0
80,CIZ,QABA,0
79,CIZ,PSCF,0
78,CIZ,PDBC,0
77,CIZ,KBWD,0
76,CIZ,EFAS,0
75,CIZ,DXJS,0
74,CIL,VTWV,0
73,CIL,VTWO,0
45,BJK,IDLB,0
44,BJK,FGM,0
43,BJK,EEMA,0
42,BIS,RTH,0
17,AGNG,RTH,0
16,AGNG,QQXT,0
15,AGNG,PDP,0
14,AGNG,BIS,0
13,ADRE,EEMA,0
12,ADRE,AIA,0
11,ACWX,VTWO,0
10,ACWX,PIE,0
9,ACWX,HEWG,0
8,ACWX,ESGD,0
7,ACWI,PHO,0
6,AAXJ,VTWG,0
5,AAXJ,FCVT,0
4,AAXJ,EEMA,0
3,AAXJ,BICK,0
2,AADR,PIE,0
1,AADR,DXJS,0
18,AGNG,SDG,0
90,CSB,FVC,0
20,AIA,FCVT,0
22,ALTY,PDBC,0
41,BIS,RNRG,0
40,BIS,QQXT,0
39,BIS,PDP,0
38,BIS,EMIF,0
37,BICK,ESGE,0
36,BICK,EEMA,0
35,BFIT,QYLD,0
34,BBH,FCVT,0
33,ASET,VONV,0
32,ASET,PKW,0
31,ASET,LVHD,0
30,ASET,KBWP,0
29,ASET,IUSV,0
28,ASET,FVC,0
27,ASET,FTXG,0
24,ALTY,QAT,0
23,ALTY,PSCF,0
21,AIA,VTWG,0
91,CSB,INDY,0
370,VTWV,VYMI,0
126,DXGE,PIE,0
115,DXGE,FAB,0
116,DXGE,FEX,0
146,DXJS,PSCU,0
134,DXJS,FDT,0
117,DXGE,FNK,0
118,DXGE,FNX,0
119,DXGE,FTA,0
140,DXJS,FID,0
133,DXGE,VTWV,0
132,DXGE,PY,0
131,DXGE,PSCU,0
157,EFAS,UAE,0
156,EFAS,QABA,0
155,EFAS,PSCF,0
114,DWAT,FTRI,0
154,EFAS,PDBC,0
152,EEMA,VTWG,0
151,DXJS,VYMI,0
150,DXJS,VTWV,0
149,DXJS,SMCP,0
148,DXJS,RFEU,0
130,DXGE,PSCC,0
120,DXGE,FTXG,0
121,DXGE,FTXR,0
122,DXGE,FVC,0
123,DXGE,IMCV,0
124,DXGE,INDY,0
125,DXGE,NFTY,0
147,DXJS,QABA,0
127,DXGE,PKW,0
153,EFAS,KBWD,0
113,DVY,FTRI,0
112,DGRW,PPH,0
111,DGRS,PSCC,0
92,CSB,PSCC,0
139,DXJS,FEUZ,0
138,DXJS,FEP,0
137,DXJS,FEMS,0
136,DXJS,FEM,0
135,DXJS,FDTS,0
93,CSB,PSCU,0
94,CSF,DXGE,0
95,DAX,DGRE,0
96,DAX,FEMS,0
97,DAX,IPKW,0
98,DAX,PIE,0
99,DAX,RFEM,0
100,DDIV,FTA,0
128,DXGE,PRFZ,0
101,DDIV,PID,0
142,DXJS,NFTY,0
110,DGRS,PSC,0
109,DGRS,INDY,0
108,DGRS,FVC,0
107,DGRS,DXGE,0
145,DXJS,PSCF,0
141,DXJS,FKU,0
129,DXGE,PSC,0
106,DGRE,VTWO,0
105,DGRE,SCZ,0
143,DXJS,PDBC,0
104,DGRE,IEUS,0
103,DGRE,HEWG,0
102,DGRE,FTXR,0
144,DXJS,PIE,0
19,AGZD,VRIG,2
25,ANGL,PFF,2
161,EMCB,SHY,2
164,EMCB,VMBS,2
368,VRIG,VTIP,2
160,EMCB,MBB,2
366,VCSH,VGSH,2
365,VCLT,VGSH,2
364,VCIT,VCLT,2
363,USIG,VGSH,2
362,USIG,VCIT,2
175,FALN,VTIP,2
361,SLQD,VGSH,2
359,SHY,VGSH,2
358,SHY,VCSH,2
357,SHY,USIG,2
356,SHY,SLQD,2
355,SHY,SKOR,2
162,EMCB,VGIT,2
163,EMCB,VGSH,2
360,SKOR,VGSH,2
330,MBB,VGIT,2
242,FTSM,SHV,2
322,IUSB,VGSH,2
52,BSJO,FTSL,2
53,BSJO,VTIP,2
281,IEI,VCIT,2
280,IEI,IUSB,2
217,FMB,HYLS,2
218,FMB,IGSB,2
219,FMB,SLQD,2
51,BSJN,VTIP,2
158,EMB,VMBS,2
259,GNMA,MBB,2
234,FTQI,IEF,2
235,FTQI,IEI,2
236,FTQI,PLW,2
237,FTQI,TLT,2
238,FTQI,VGIT,2
239,FTQI,VGLT,2
260,GNMA,VGIT,2
50,BSJN,FTSL,2
49,BND,VGSH,2
290,IGIB,ISTB,2
321,IUSB,VCLT,2
320,IUSB,VCIT,2
319,IUSB,SHY,2
318,ISTB,VCSH,2
317,ISTB,VCIT,2
316,ISTB,USIG,2
315,ISTB,SLQD,2
241,FTSL,VTIP,2
48,BND,SHY,2
298,IGSB,VGSH,2
297,IGSB,VCSH,2
296,IGSB,SHY,2
295,IGSB,ISTB,2
294,IGIB,VGSH,2
293,IGIB,VCLT,2
292,IGIB,USIG,2
291,IGIB,SHY,2
26,ANGL,VTIP,2
159,EMCB,IEI,2
